Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
RELIANCE,EQ,18-Apr-23,"2,367.45","2,377.00","2,377.00","2,326.00","2,340.40","2,340.35","2,341.54","48,02,172","11,24,44,58,267.80","1,59,024","21,50,217",44.78
RELIANCE,EQ,19-Apr-23,"2,340.35","2,339.05","2,357.90","2,332.20","2,348.80","2,352.00","2,347.73","56,64,207","13,29,80,39,126.00","1,46,728","25,62,595",45.24
RELIANCE,EQ,20-Apr-23,"2,352.00","2,354.10","2,359.00","2,332.10","2,345.00","2,346.05","2,342.63","32,33,882","7,57,57,82,937.90","1,42,307","13,28,115",41.07
RELIANCE,EQ,21-Apr-23,"2,346.05","2,350.65","2,361.00","2,336.40","2,351.00","2,349.00","2,348.70","35,29,236","8,28,91,02,461.70","1,51,695","19,01,194",53.87
RELIANCE,EQ,24-Apr-23,"2,349.00","2,375.00","2,380.90","2,348.00","2,360.50","2,358.00","2,360.70","59,70,048","14,09,35,09,408.65","2,17,965","27,51,711",46.09
RELIANCE,EQ,25-Apr-23,"2,358.00","2,366.00","2,380.60","2,350.50","2,373.45","2,376.05","2,365.75","42,62,471","10,08,39,30,491.20","1,51,700","20,86,689",48.95
RELIANCE,EQ,26-Apr-23,"2,376.05","2,379.00","2,386.10","2,354.05","2,361.90","2,362.10","2,363.34","39,77,129","9,39,93,18,934.15","1,59,924","20,98,237",52.76
RELIANCE,EQ,27-Apr-23,"2,362.10","2,375.00","2,384.00","2,364.00","2,381.70","2,377.05","2,373.05","42,30,627","10,03,94,93,207.75","1,51,491","20,32,293",48.04
RELIANCE,EQ,28-Apr-23,"2,377.05","2,382.00","2,423.90","2,381.75","2,419.90","2,420.50","2,409.46","71,83,342","17,30,79,47,047.80","2,26,856","40,54,041",56.44
RELIANCE,EQ,02-May-23,"2,420.50","2,436.20","2,445.80","2,428.10","2,440.20","2,441.05","2,438.83","59,91,101","14,61,12,50,968.30","2,13,010","38,88,221",64.9
RELIANCE,EQ,03-May-23,"2,441.05","2,445.00","2,445.00","2,413.05","2,418.00","2,420.10","2,423.03","32,59,053","7,89,67,75,124.85","1,22,949","18,26,435",56.04
RELIANCE,EQ,04-May-23,"2,420.10","2,421.15","2,452.85","2,414.60","2,445.95","2,448.00","2,438.20","39,85,159","9,71,66,26,291.25","1,48,384","17,41,751",43.71
